,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_l1_ratio,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,split5_test_average_precision,split6_test_average_precision,split7_test_average_precision,split8_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
12,2.5137097040812173,0.1396149550007866,0.0223694642384847,0.0073620068850281046,0.001,0.30000000000000004,"{'C': 0.001, 'l1_ratio': 0.30000000000000004}",0.7203562068761262,0.717960752308427,0.686001965870889,0.6904656393935762,0.7108650665465671,0.7228316940583491,0.687216029084629,0.7236584152605775,0.7140467453999825,0.7081558349776804,0.014850931440475359,73,0.29196180528023485,0.29869797487341293,0.2870409529142825,0.29719167254815454,0.316310240028411,0.3239696068809387,0.2853533176180529,0.3187331210230328,0.3262955047479569,0.30506157732383077,0.015308059043109267,73
13,2.4427703751458063,0.155508962711012,0.021531926261054143,0.007391189600402383,0.001,0.4,"{'C': 0.001, 'l1_ratio': 0.4}",0.7148379671793917,0.705039177127294,0.676994435125758,0.6835837618949308,0.700566331733731,0.7142923306144382,0.6778347814116182,0.7138867178487118,0.7091421544055232,0.6995752952601552,0.01496288882787366,74,0.2832308559190783,0.2860118223763164,0.2784492625127648,0.28686646426273954,0.30477314031177405,0.31447005275312645,0.27630527422051054,0.3054472994172279,0.3185271629507267,0.2948979260804739,0.015077765425156247,74
14,2.340639273325602,0.1566128600173451,0.022015518612331815,0.007968592454283947,0.001,0.5,"{'C': 0.001, 'l1_ratio': 0.5}",0.7063785691097342,0.6910805118828376,0.6658741963261254,0.6758027660472092,0.6895934232897085,0.7050790398377229,0.6659861428763622,0.7018384077536839,0.7011755859884106,0.689200960345755,0.015335305702277419,75,0.27386294122223415,0.27346962324670443,0.2692144377477215,0.2777388994574338,0.29393222817158426,0.3046572239317614,0.2665033863844446,0.29100749588067637,0.30915015359726106,0.28439293218220235,0.014844416213838217,75
15,2.2774776617685952,0.1015946961489073,0.022215763727823894,0.008018167979977927,0.001,0.6,"{'C': 0.001, 'l1_ratio': 0.6}",0.6952514967303124,0.679417560602084,0.6560377146439287,0.6666923153333832,0.6781681538606031,0.696444121024808,0.6559831784092935,0.6875050460787381,0.6933387805024762,0.678759818576181,0.015111481311965698,76,0.26292546069949735,0.2652385046543306,0.2616015151368648,0.2686494550670045,0.2839853738890771,0.2965575222447807,0.2582667460298457,0.2766547939141442,0.3005793897274381,0.2749398623736648,0.014694695108124028,76
16,2.2130538092719183,0.16299126156493415,0.022183444764879014,0.007215717288355284,0.001,0.7000000000000001,"{'C': 0.001, 'l1_ratio': 0.7000000000000001}",0.6837409980633711,0.6703972222669989,0.6493958736816371,0.6573737099086701,0.6694276078215604,0.6890237105236258,0.6490903231660194,0.673918967333385,0.6868893990736471,0.6699175346487682,0.014425743645519656,77,0.2547415894062208,0.2603195334889896,0.2581668094620708,0.26219745185369603,0.27795131408625107,0.2912868424923824,0.2535632622169961,0.26509455984138486,0.2959536366093056,0.26880833327303305,0.0149027516461693,77
17,2.1448827849494085,0.17039477753741333,0.020922740300496418,0.005888406572464756,0.001,0.8,"{'C': 0.001, 'l1_ratio': 0.8}",0.6708480296729837,0.6598565458194762,0.6409191059610039,0.6474856228733493,0.6609290728296102,0.6787494310650747,0.6420512000225269,0.6585873541179091,0.6801393873772716,0.6599517499710229,0.013826398989026014,78,0.24793106695947467,0.25501838338468363,0.2542908996485593,0.2558612937296063,0.2733631092818347,0.28504987860314374,0.24963460127229226,0.25260948008384243,0.2919554878252051,0.26285713342096023,0.015405673731382928,78
18,2.0733184019724527,0.1439535441647516,0.01909152666727702,0.00608365755933716,0.001,0.9,"{'C': 0.001, 'l1_ratio': 0.9}",0.6574492010210171,0.6508439407593731,0.6333376559171046,0.6391581055551468,0.6510126747970546,0.6689514293758306,0.6338482302366254,0.6514194878379964,0.6730257520769422,0.6510051641752322,0.013314787429880907,79,0.2406374421361778,0.24953981799421182,0.24992717532980552,0.2503039593832851,0.26760354479374926,0.27785562468795816,0.24594542280134682,0.24673557018842104,0.28719753299944667,0.25730512114604465,0.015290726938998215,79
19,2.0533456007639566,0.14958144420449188,0.019261731041802302,0.005539908213771643,0.001,1.0,"{'C': 0.001, 'l1_ratio': 1.0}",0.6481966695141925,0.6448275121959386,0.628738105103926,0.6320801255735098,0.6435129669112292,0.663224417630501,0.6283697543012148,0.6381295789417459,0.6684835482124598,0.643951408709413,0.013504363060898758,81,0.2349410608195741,0.24365207289720062,0.24619048362723667,0.24553240069953175,0.26191293318601466,0.27338084380313565,0.24226524336087202,0.23607912927600797,0.28341402083488365,0.2519297987227175,0.016078689494103154,81
20,2.830255322986179,0.18313975045079742,0.021767377853393555,0.006722816589303723,0.01,0.1,"{'C': 0.01, 'l1_ratio': 0.1}",0.7215821034520005,0.7435045165739818,0.6991732606174218,0.7001042840705316,0.7271193253123959,0.7397243356810287,0.7007146790397316,0.7412000747055832,0.7201415595612857,0.7214737932237735,0.017081927943171333,2,0.30122274105615543,0.3280158766147818,0.300943689619749,0.31422500609872484,0.3432052988725496,0.35051991554126416,0.30284087045494257,0.3461682744638236,0.33974027297676895,0.32520910507764,0.019459256873422138,60
21,2.833383878072103,0.16243097190922035,0.022017611397637263,0.007660500227607941,0.01,0.2,"{'C': 0.01, 'l1_ratio': 0.2}",0.7217999862553687,0.7431511905131922,0.6992800585941308,0.7002595049535394,0.7271735882935431,0.739697837733192,0.7006977057058561,0.7410856908649534,0.7202798441374424,0.7214917118945797,0.016980126511868542,1,0.30137339799884755,0.32744249785021,0.3009198124622359,0.31413811875340436,0.3428266140354288,0.3501755775833811,0.30264027091655205,0.34586331167749795,0.339708569625731,0.32500979676703207,0.01933675919085475,62
