gene,5pct,10pct,20pct,50pct,80pct,90pct,95pct,0.45ratio_pct,0.48ratio_pct,0.61ratio_pct,0.75ratio_pct,2ratio_pct,2.5ratio_pct
RPS13,0.02,0.04,0.13,0.74,1.1720000000000004,1.4460000000000002,1.6759999999999993,40.303030303030305,41.515151515151516,45.45454545454545,50.90909090909091,97.17171717171718,99.1919191919192
PHB,0.11,0.28,0.62,1.1,1.4,1.64,1.9449999999999998,15.235008103727715,16.045380875202593,19.692058346839545,23.797947055645597,95.35386277687736,98.16315505132361
RPS9,0.02,0.04,0.1,0.72,1.12,1.3,1.4335000000000002,39.317507418397625,40.875370919881306,46.21661721068249,51.70623145400594,99.85163204747775,99.85163204747775
EIF5B,0.35,0.68,0.93,1.3,1.8420000000000027,2.3,2.8930000000000016,6.363636363636363,6.767676767676767,8.608305274971942,11.705948372615039,84.73625140291807,92.16610549943883
RPS6,0.01,0.010000000000000002,0.04,0.39,1.13,1.5380000000000007,2.2739999999999987,52.96343001261034,53.593947036569986,57.377049180327866,63.114754098360656,94.07313997477932,96.46910466582598
RPS11,0.009999999999999998,0.03,0.09,0.74,1.21,1.4110000000000014,1.6,40.14900662251656,41.556291390728475,44.86754966887417,50.74503311258278,97.18543046357615,98.01324503311258
SUPT5H,0.2675,0.595,0.88,1.13,1.39,1.59,1.82,7.978429203539823,8.4070796460177,10.412057522123893,13.426438053097344,96.75055309734513,98.61725663716814
SNRPD2,0.04,0.1,0.32,1.0,1.29,1.45,1.6089999999999998,23.529411764705884,24.132730015082956,28.733031674208146,32.73001508295626,99.09502262443439,99.84917043740573
RPL37,0.03,0.11,0.5419999999999999,1.14,1.69,2.099000000000001,2.5745000000000005,18.30939947780679,18.89686684073107,21.409921671018278,25.652741514360315,88.70757180156657,94.54960835509138
RPSA,0.010000000000000002,0.01,0.04,0.44,1.2280000000000006,1.58,1.9020000000000001,50.4923903312444,51.07430617726052,55.371530886302594,59.400179051029546,95.88182632050135,98.03043867502238
COPS6,0.4129999999999999,0.65,0.8399999999999999,1.1,1.4,1.63,1.9570000000000003,5.888807607900512,6.217995610826628,8.705193855157278,14.264813460131675,95.75713240673007,97.51280175566934
DDX51,0.22,0.6,0.89,1.13,1.39,1.56,1.76,8.128997867803838,8.528784648187633,10.301172707889126,13.0863539445629,97.34808102345416,99.06716417910448
EIF4A3,0.01,0.03,0.09,0.81,1.25,1.5,1.7774999999999999,38.82316313823163,39.85056039850561,43.586550435865504,48.16313823163138,96.69987546699875,99.06600249066003
KARS,0.05,0.135,0.42,1.02,1.4,1.66,2.08,21.24883504193849,21.924510717614165,26.91053122087605,32.38583410997204,94.5945945945946,96.52842497670083
RPL5,0.01,0.03,0.07,0.76,1.37,1.88,2.3939999999999997,41.726618705035975,42.24049331963001,45.88900308324769,49.69167523124358,92.44604316546763,95.73484069886948
RPL32,0.06,0.22800000000000015,0.7260000000000002,1.12,1.4540000000000008,1.76,2.16,14.49960598896769,14.736012608353034,16.74546887312845,21.434200157604412,93.77462568951931,96.92671394799055
SF3A1,0.05,0.16,0.65,1.12,1.45,1.69,2.04,16.456708658268347,16.856628674265146,19.166166766646672,22.565486902619476,94.77104579084182,97.06058788242352
RPS3A,0.01,0.02,0.08,0.81,1.354000000000001,1.6999999999999997,1.9100000000000001,39.366515837104075,39.59276018099548,42.81674208144796,47.28506787330317,96.04072398190046,98.30316742081448
SF3B3,0.08000000000000002,0.2,0.62,1.11,1.45,1.7,2.0,16.185579058081103,16.89844571695688,19.878462077831017,24.11475984574033,95.03330606520977,97.61014374196564
POLR2D,0.23000000000000004,0.5,0.8499999999999999,1.16,1.55,1.81,2.0954999999999995,9.01015228426396,9.644670050761421,12.563451776649746,15.786802030456853,93.60406091370558,97.61421319796955
RPS15A,0.02,0.05,0.15,0.92,1.3180000000000003,1.57,1.8195000000000001,31.787330316742082,32.35294117647059,36.65158371040724,40.27149321266968,96.38009049773756,97.96380090497738
RPL31,0.01,0.015,0.06,0.635,1.16,1.39,1.57,44.01260504201681,45.378151260504204,49.57983193277311,55.04201680672269,98.94957983193277,99.78991596638656
PRPF19,0.01,0.04000000000000001,0.1,0.83,1.22,1.4100000000000001,1.59,36.22202720491443,37.40675734971479,41.158402808249235,46.33611232996928,97.89381307591049,98.55199648968846
