gene,5pct,10pct,20pct,50pct,80pct,90pct,95pct,0.45ratio_pct,0.48ratio_pct,0.61ratio_pct,0.75ratio_pct,2ratio_pct,2.5ratio_pct
POLR2D,0.18,0.41,0.81,1.15,1.53,1.81,2.103499999999999,10.767218831734962,11.508282476024412,14.450741063644289,17.87271142109852,93.54838709677419,97.51525719267654
RPS15A,0.02,0.05,0.15,0.92,1.31,1.57,1.8175,31.50224215246637,32.062780269058294,36.32286995515695,39.91031390134529,96.41255605381166,97.98206278026906
RPL31,0.01,0.015,0.06,0.635,1.16,1.39,1.57,44.01260504201681,45.378151260504204,49.57983193277311,55.04201680672269,98.94957983193277,99.78991596638656
PRPF19,0.02,0.03700000000000017,0.1,0.84,1.22,1.41,1.59,36.113518197573654,37.28336221837088,41.074523396880416,46.20883882149047,97.92027729636048,98.57019064124783
SF3B2,0.02,0.06,0.17,0.94,1.3,1.5,1.69,31.30237430167598,32.08798882681564,35.858938547486034,40.1536312849162,98.32402234636872,99.47625698324022
RPS4X,0.01,0.02,0.05,0.51,1.2,1.435,1.745,47.73218142548596,48.92008639308855,52.915766738660906,57.88336933045356,96.97624190064795,98.59611231101512
CSE1L,0.02,0.06,0.22,1.03,1.58,2.03,2.5429999999999975,26.884561891515993,27.95549374130737,31.26564673157163,35.618915159944365,89.66620305980528,94.63143254520168
RPL6,0.01,0.02,0.07,0.82,1.3,1.55,1.8029999999999995,40.0,40.588235294117645,43.79679144385027,47.9144385026738,96.79144385026738,98.07486631016043
COPZ1,0.42,0.65,0.87,1.15,1.45,1.68,1.9474999999999998,5.876180482686254,6.42707240293809,8.578174186778593,13.746065057712487,95.59286463798531,97.90136411332634
PSMB2,0.05950000000000017,0.21,0.72,1.13,1.5620000000000027,1.96,2.37,13.797872340425531,14.287234042553191,17.03191489361702,21.02127659574468,90.74468085106383,96.01063829787235
RPL7,0.0,0.01,0.03,0.415,1.14,1.4049999999999998,1.7175,51.67493796526055,52.79156327543424,57.00992555831265,60.421836228287845,96.89826302729529,98.63523573200993
PHB2,0.02,0.04,0.11,0.68,1.1,1.28,1.43,39.86534372785259,41.28277817150957,46.98795180722892,53.8979447200567,99.57476966690291,99.92912827781716
ARCN1,0.13100000000000023,0.37,0.69,1.1,1.55,1.9480000000000017,2.44,12.264624654782827,12.942505649008286,17.223198594024606,22.55837308561386,90.86115992970123,95.40547326136078
RPA2,0.13,0.35,0.78,1.11,1.44,1.72,2.17,11.29305477131564,11.688311688311689,15.753811405985319,19.057029926595145,93.90175042348956,96.61208356860531
NUP98,0.09,0.21,0.55,1.08,1.43,1.6799999999999997,2.05,17.16364160184385,18.157591472198213,21.88130221838087,26.915874387784502,94.58369346009795,97.05416306539902
RPS3,0.03,0.08,0.34,1.0550000000000002,1.47,1.77,2.130499999999999,22.475728155339805,23.131067961165048,26.52912621359223,31.480582524271846,93.27669902912622,97.42718446601941
EEF2,0.01,0.03,0.09,0.63,1.12,1.31,1.4869999999999983,42.21298369043812,43.58810361368724,49.18452190598017,55.212663895107134,98.88071634154142,99.6162456028142
USP39,0.11,0.25,0.6640000000000004,1.07,1.41,1.64,1.9765000000000008,14.968861209964412,15.680604982206406,18.972419928825623,23.776690391459073,95.19572953736655,97.68683274021352
PSMD1,0.01,0.02,0.08,0.88,1.45,1.79,2.16,38.399635590646824,39.432128757971455,42.013361676283026,45.475250531430305,92.63589432128758,97.20619495900395
NUP93,0.04400000000000005,0.11000000000000001,0.36,1.02,1.38,1.65,2.04,23.00103842159917,23.883696780893043,27.48355832467982,32.57182416060921,94.6521287642783,97.30010384215991
AQR,0.04,0.11000000000000001,0.41600000000000026,1.14,1.58,1.93,2.39,20.865517924341454,21.38047138047138,23.539314715785306,26.807288571994455,90.96850861556744,95.72192513368984
RPL34,0.02,0.06,0.39,1.15,1.7,2.263000000000001,2.7615,21.298405466970387,21.9248291571754,24.658314350797266,28.018223234624145,86.90205011389521,92.59681093394077
PSMA1,0.05,0.15,0.55,1.12,1.53,1.81,2.0904999999999996,17.916666666666668,18.71527777777778,21.493055555555557,24.930555555555557,93.68055555555556,98.19444444444444
RPS27A,0.03,0.14,0.62,1.16,1.54,1.91,2.42,16.795366795366796,17.47104247104247,19.98069498069498,24.131274131274132,91.11969111969113,95.55984555984556
